24/02/2023 17:45:30 - 0214:	 - train_loss: 0.385436:	 - test_loss: 0.401770:	 mIoU 0.7226
24/02/2023 17:45:34 - 0215:	 - train_loss: 0.339838:	 - test_loss: 0.401785:	 mIoU 0.7151
24/02/2023 17:45:39 - 0216:	 - train_loss: 0.345792:	 - test_loss: 0.406459:	 mIoU 0.7108
24/02/2023 17:45:44 - 0217:	 - train_loss: 0.340302:	 - test_loss: 0.389550:	 mIoU 0.7302
24/02/2023 17:45:49 - 0218:	 - train_loss: 0.351146:	 - test_loss: 0.392594:	 mIoU 0.7278
24/02/2023 17:45:53 - 0219:	 - train_loss: 0.325335:	 - test_loss: 0.390781:	 mIoU 0.7284
24/02/2023 17:45:58 - 0220:	 - train_loss: 0.363923:	 - test_loss: 0.498077:	 mIoU 0.5839
24/02/2023 17:46:03 - 0221:	 - train_loss: 0.349380:	 - test_loss: 0.416816:	 mIoU 0.6935
24/02/2023 17:46:07 - 0222:	 - train_loss: 0.361995:	 - test_loss: 0.383623:	 mIoU 0.7404
24/02/2023 17:46:12 - 0223:	 - train_loss: 0.353339:	 - test_loss: 0.393215:	 mIoU 0.7269
24/02/2023 17:46:16 - 0224:	 - train_loss: 0.362988:	 - test_loss: 0.385736:	 mIoU 0.7363
24/02/2023 17:46:21 - 0225:	 - train_loss: 0.333679:	 - test_loss: 0.394220:	 mIoU 0.7255
24/02/2023 17:46:26 - 0226:	 - train_loss: 0.342395:	 - test_loss: 0.395256:	 mIoU 0.7233
24/02/2023 17:46:30 - 0227:	 - train_loss: 0.357224:	 - test_loss: 0.386367:	 mIoU 0.7345
24/02/2023 17:46:35 - 0228:	 - train_loss: 0.337043:	 - test_loss: 0.385754:	 mIoU 0.7346
24/02/2023 17:46:40 - 0229:	 - train_loss: 0.358025:	 - test_loss: 0.391766:	 mIoU 0.7315
24/02/2023 17:46:44 - 0230:	 - train_loss: 0.334978:	 - test_loss: 0.394283:	 mIoU 0.7253
24/02/2023 17:46:49 - 0231:	 - train_loss: 0.343160:	 - test_loss: 0.384913:	 mIoU 0.7305
24/02/2023 17:46:54 - 0232:	 - train_loss: 0.347815:	 - test_loss: 0.387591:	 mIoU 0.7321
24/02/2023 17:46:58 - 0233:	 - train_loss: 0.337687:	 - test_loss: 0.385334:	 mIoU 0.7342
24/02/2023 17:47:03 - 0234:	 - train_loss: 0.367418:	 - test_loss: 0.383856:	 mIoU 0.7350
24/02/2023 17:47:08 - 0235:	 - train_loss: 0.337281:	 - test_loss: 0.383011:	 mIoU 0.7347
24/02/2023 17:47:12 - 0236:	 - train_loss: 0.358402:	 - test_loss: 0.382115:	 mIoU 0.7340
24/02/2023 17:47:17 - 0237:	 - train_loss: 0.335029:	 - test_loss: 0.384256:	 mIoU 0.7340
24/02/2023 17:47:22 - 0238:	 - train_loss: 0.354025:	 - test_loss: 0.395451:	 mIoU 0.7266
24/02/2023 17:47:26 - 0239:	 - train_loss: 0.332087:	 - test_loss: 0.381822:	 mIoU 0.7344
24/02/2023 17:47:31 - 0240:	 - train_loss: 0.354268:	 - test_loss: 0.384603:	 mIoU 0.7342
24/02/2023 17:47:36 - 0241:	 - train_loss: 0.331389:	 - test_loss: 0.386113:	 mIoU 0.7286
24/02/2023 17:47:40 - 0242:	 - train_loss: 0.342617:	 - test_loss: 0.382954:	 mIoU 0.7324
24/02/2023 17:47:45 - 0243:	 - train_loss: 0.343267:	 - test_loss: 0.386521:	 mIoU 0.7297
24/02/2023 17:47:50 - 0244:	 - train_loss: 0.336120:	 - test_loss: 0.387266:	 mIoU 0.7302
24/02/2023 17:47:54 - 0245:	 - train_loss: 0.332475:	 - test_loss: 0.385510:	 mIoU 0.7315
24/02/2023 17:47:59 - 0246:	 - train_loss: 0.347688:	 - test_loss: 0.395657:	 mIoU 0.7173
